task_id,Trial_1,Trial_2,Trial_3,Trial_4,pass^1,pass^2,pass^3,pass^4
0,1,1,1,1,1.0,1.0,1.0,1.0
1,1,1,1,1,1.0,1.0,1.0,1.0
2,1,1,1,1,1.0,1.0,1.0,1.0
3,1,1,0,1,0.75,0.5,0.25,0.0
4,1,1,1,1,1.0,1.0,1.0,1.0
5,1,1,1,1,1.0,1.0,1.0,1.0
6,0,0,0,0,0.0,0.0,0.0,0.0
7,0,0,0,1,0.25,0.0,0.0,0.0
8,1,1,1,1,1.0,1.0,1.0,1.0
9,0,0,0,0,0.0,0.0,0.0,0.0
10,0,1,0,0,0.25,0.0,0.0,0.0
11,1,1,1,1,1.0,1.0,1.0,1.0
12,1,0,0,1,0.5,0.16666666666666666,0.0,0.0
13,1,1,0,1,0.75,0.5,0.25,0.0
14,1,0,1,0,0.5,0.16666666666666666,0.0,0.0
15,1,1,1,1,1.0,1.0,1.0,1.0
16,1,1,1,1,1.0,1.0,1.0,1.0
17,1,1,1,1,1.0,1.0,1.0,1.0
18,1,1,1,1,1.0,1.0,1.0,1.0
19,0,0,1,0,0.25,0.0,0.0,0.0
20,0,0,1,0,0.25,0.0,0.0,0.0
21,1,1,1,0,0.75,0.5,0.25,0.0
22,0,0,0,0,0.0,0.0,0.0,0.0
23,1,1,1,1,1.0,1.0,1.0,1.0
24,0,0,0,0,0.0,0.0,0.0,0.0
25,0,0,0,0,0.0,0.0,0.0,0.0
26,1,1,1,1,1.0,1.0,1.0,1.0
27,1,1,1,1,1.0,1.0,1.0,1.0
28,1,1,1,1,1.0,1.0,1.0,1.0
29,0,1,1,0,0.5,0.16666666666666666,0.0,0.0
30,0,0,0,0,0.0,0.0,0.0,0.0
31,0,0,0,0,0.0,0.0,0.0,0.0
32,0,0,0,0,0.0,0.0,0.0,0.0
33,0,1,0,0,0.25,0.0,0.0,0.0
34,0,0,1,1,0.5,0.16666666666666666,0.0,0.0
35,1,0,1,1,0.75,0.5,0.25,0.0
36,0,0,0,0,0.0,0.0,0.0,0.0
37,0,0,0,0,0.0,0.0,0.0,0.0
38,0,0,0,0,0.0,0.0,0.0,0.0
39,0,1,0,1,0.5,0.16666666666666666,0.0,0.0
40,1,1,1,1,1.0,1.0,1.0,1.0
41,0,0,0,0,0.0,0.0,0.0,0.0
42,1,0,0,0,0.25,0.0,0.0,0.0
43,1,1,1,1,1.0,1.0,1.0,1.0
44,0,0,0,0,0.0,0.0,0.0,0.0
45,1,0,0,1,0.5,0.16666666666666666,0.0,0.0
46,1,1,1,1,1.0,1.0,1.0,1.0
47,1,1,1,1,1.0,1.0,1.0,1.0
48,1,1,1,1,1.0,1.0,1.0,1.0
49,0,0,0,0,0.0,0.0,0.0,0.0
50,1,1,1,1,1.0,1.0,1.0,1.0
51,1,1,1,1,1.0,1.0,1.0,1.0
52,0,0,0,0,0.0,0.0,0.0,0.0
53,1,1,1,1,1.0,1.0,1.0,1.0
54,0,0,0,0,0.0,0.0,0.0,0.0
55,0,0,0,0,0.0,0.0,0.0,0.0
56,1,0,1,0,0.5,0.16666666666666666,0.0,0.0
57,1,1,1,1,1.0,1.0,1.0,1.0
58,0,1,1,1,0.75,0.5,0.25,0.0
59,0,0,0,0,0.0,0.0,0.0,0.0
60,1,1,0,1,0.75,0.5,0.25,0.0
61,1,1,1,1,1.0,1.0,1.0,1.0
62,1,0,1,0,0.5,0.16666666666666666,0.0,0.0
63,0,0,0,0,0.0,0.0,0.0,0.0
64,0,0,0,0,0.0,0.0,0.0,0.0
65,1,1,1,1,1.0,1.0,1.0,1.0
66,0,0,0,0,0.0,0.0,0.0,0.0
67,1,1,1,1,1.0,1.0,1.0,1.0
68,1,1,1,1,1.0,1.0,1.0,1.0
69,0,0,0,0,0.0,0.0,0.0,0.0
70,1,1,1,1,1.0,1.0,1.0,1.0
71,0,0,1,1,0.5,0.16666666666666666,0.0,0.0
72,0,0,0,0,0.0,0.0,0.0,0.0
73,1,1,1,1,1.0,1.0,1.0,1.0
74,0,1,1,1,0.75,0.5,0.25,0.0
75,1,1,1,1,1.0,1.0,1.0,1.0
76,0,0,0,0,0.0,0.0,0.0,0.0
77,1,1,1,1,1.0,1.0,1.0,1.0
78,1,0,0,0,0.25,0.0,0.0,0.0
79,1,1,1,1,1.0,1.0,1.0,1.0
80,1,1,1,1,1.0,1.0,1.0,1.0
81,0,0,0,0,0.0,0.0,0.0,0.0
82,1,0,1,1,0.75,0.5,0.25,0.0
83,1,1,1,1,1.0,1.0,1.0,1.0
84,1,1,1,1,1.0,1.0,1.0,1.0
85,1,1,1,1,1.0,1.0,1.0,1.0
86,1,1,1,1,1.0,1.0,1.0,1.0
87,1,1,1,1,1.0,1.0,1.0,1.0
88,1,1,1,1,1.0,1.0,1.0,1.0
89,1,1,1,1,1.0,1.0,1.0,1.0
90,0,0,1,0,0.25,0.0,0.0,0.0
91,0,0,1,0,0.25,0.0,0.0,0.0
92,1,1,1,1,1.0,1.0,1.0,1.0
93,1,1,1,0,0.75,0.5,0.25,0.0
94,1,1,0,1,0.75,0.5,0.25,0.0
95,0,1,1,0,0.5,0.16666666666666666,0.0,0.0
96,0,0,1,0,0.25,0.0,0.0,0.0
97,0,0,0,1,0.25,0.0,0.0,0.0
98,0,0,0,0,0.0,0.0,0.0,0.0
99,0,0,0,0,0.0,0.0,0.0,0.0
100,0,0,0,0,0.0,0.0,0.0,0.0
101,0,1,0,1,0.5,0.16666666666666666,0.0,0.0
102,1,1,0,0,0.5,0.16666666666666666,0.0,0.0
103,1,1,0,0,0.5,0.16666666666666666,0.0,0.0
104,0,0,1,0,0.25,0.0,0.0,0.0
105,1,1,1,1,1.0,1.0,1.0,1.0
106,1,1,1,1,1.0,1.0,1.0,1.0
107,1,0,1,1,0.75,0.5,0.25,0.0
108,1,1,1,1,1.0,1.0,1.0,1.0
109,0,0,0,0,0.0,0.0,0.0,0.0
110,0,0,0,0,0.0,0.0,0.0,0.0
111,0,1,1,0,0.5,0.16666666666666666,0.0,0.0
112,0,0,1,1,0.5,0.16666666666666666,0.0,0.0
113,1,1,1,1,1.0,1.0,1.0,1.0
